Time,Eval distribution,PV length distribution
2025-10-04T17:28:42,{0: 5; 1: 5; -1: 3; 2: 1; -2: 3; 3: 2; -3: 5; 4: 1; -4: 3; 5: 3; -5: 3; 6: 3; -6: 5; 7: 3; 8: 2; -8: 4; 9: 1; -9: 2; 10: 2; -10: 2; 11: 1; 12: 6; -12: 2; 13: 2; -13: 3; 14: 5; 15: 5; -15: 2; 16: 3; -16: 4; 17: 2; -17: 1; 18: 5; -18: 1; 19: 6; -19: 1; 20: 3; -20: 1; 21: 1; -21: 1; 22: 5; -22: 1; 23: 1; -23: 1; 24: 5; -24: 2; 25: 7; -25: 1; 26: 6; 27: 3; 28: 6; -28: 1; 29: 5; -29: 1; 30: 4; 31: 5; 32: 4; 33: 6; 34: 4; 35: 4; -35: 2; 36: 5; -36: 1; 37: 8; 38: 3; 39: 6; 40: 4; 41: 3; 42: 5; 43: 6; 44: 3; -44: 1; 45: 5; 46: 5; 47: 1; 48: 5; 49: 4; 50: 5; -50: 1; 51: 2; 52: 1; 53: 2; 54: 2; -54: 1; 55: 4; 56: 1; 58: 2; 60: 1; 61: 1; 62: 3; 63: 4; 64: 1; 65: 1; 68: 1; 71: 1; 73: 1; 75: 2; -75: 1; 76: 3; 77: 1; 78: 2; 82: 1; 83: 1; 84: 1; 85: 2; 86: 1; 87: 1; 88: 1; 89: 1; 90: 2; 93: 1; 94: 1; 95: 1; 97: 1; 98: 1; 99: 1; 101: 1; 102: 1; 104: 1; 105: 2; 106: 1; 109: 2; 127: 1; 128: 1; 141: 1},{4: 41; 5: 16; 6: 39; 7: 19; 8: 13; 9: 23; 10: 17; 11: 13; 12: 31; 13: 9; 14: 12; 15: 7; 16: 10; 17: 8; 18: 6; 19: 7; 20: 4; 21: 13; 22: 5; 23: 3; 24: 5; 25: 4; 26: 2; 27: 4; 28: 5; 29: 5; 31: 1; 37: 1; 38: 1}
2025-10-05T19:50:32,{0: 4; 1: 6; -1: 3; 2: 1; -2: 2; 3: 2; -3: 6; -4: 2; 5: 3; -5: 4; 6: 2; -6: 3; 7: 4; -7: 1; 8: 2; -8: 3; 9: 1; -9: 4; 10: 2; -10: 2; 11: 1; 12: 7; -12: 2; 13: 1; -13: 3; 14: 4; -14: 1; 15: 6; 16: 2; -16: 5; 17: 1; -17: 1; 18: 8; -18: 1; 19: 7; -19: 2; 20: 4; 21: 3; 22: 1; -22: 2; 23: 2; 24: 4; -24: 3; 25: 6; -25: 1; 26: 5; 27: 3; 28: 6; -28: 2; 29: 7; 30: 4; 31: 4; 32: 7; 33: 7; 34: 3; 35: 5; -35: 2; 36: 2; -36: 1; 37: 6; 38: 4; 39: 8; 40: 3; 41: 6; 42: 4; -42: 1; 43: 6; 44: 3; 45: 5; 46: 3; 47: 4; 48: 3; 49: 2; 50: 5; -50: 1; 51: 2; 52: 2; 53: 2; 54: 3; -55: 1; 56: 3; 58: 4; 59: 1; 60: 1; 61: 2; 62: 1; 63: 3; 65: 1; 67: 1; 69: 1; 71: 1; -72: 1; 73: 1; 74: 1; 75: 1; 76: 1; 77: 1; 78: 2; 79: 2; 82: 1; 84: 1; 85: 2; 86: 1; 89: 3; 90: 2; 91: 1; 93: 1; 94: 1; 95: 1; 96: 1; 98: 1; 99: 1; 101: 1; 102: 1; 104: 1; 105: 2; 106: 1; 109: 2; 128: 1; 129: 1; 141: 1},{4: 43; 5: 15; 6: 39; 7: 16; 8: 13; 9: 23; 10: 25; 11: 14; 12: 27; 13: 13; 14: 12; 15: 6; 16: 6; 17: 8; 18: 7; 19: 5; 20: 7; 21: 5; 22: 9; 23: 5; 24: 5; 25: 6; 26: 2; 27: 4; 28: 4; 29: 2; 37: 1; 38: 1; 56: 1}
2025-10-12T16:48:49,{0: 6; 1: 9; -1: 1; 2: 2; -2: 2; 3: 4; -3: 3; -4: 2; 5: 2; -5: 4; 6: 4; -6: 2; 7: 2; -7: 1; 8: 2; -8: 4; 9: 3; -9: 3; 10: 4; -10: 2; 11: 4; -11: 1; 12: 2; -12: 4; 13: 2; -13: 1; 14: 2; -14: 3; 15: 5; 16: 3; -16: 3; 17: 2; -17: 1; 18: 6; 19: 3; -19: 2; 20: 4; -20: 1; 21: 4; -21: 1; 22: 2; 23: 8; -23: 1; 24: 4; -24: 2; 25: 7; -25: 2; 26: 4; 27: 3; -27: 1; 28: 6; -28: 1; 29: 3; 30: 1; -30: 1; 31: 7; 32: 6; 33: 9; 34: 2; -34: 1; 35: 4; 36: 6; -36: 2; 37: 5; 38: 4; 39: 8; 40: 2; 41: 4; 42: 3; 43: 6; 44: 5; -44: 1; 45: 5; 46: 1; 47: 6; 48: 5; 49: 1; 50: 1; 51: 2; -51: 1; 52: 4; 56: 4; -56: 1; 57: 1; 58: 1; 59: 4; 60: 1; 61: 1; 62: 2; 63: 2; 69: 1; 70: 4; 71: 2; 73: 1; 74: 1; 75: 1; 76: 2; 78: 1; -78: 1; 79: 1; 81: 2; 84: 2; 85: 2; 87: 2; 89: 1; 90: 1; 91: 1; 94: 1; 95: 2; 98: 2; 99: 1; 100: 1; 101: 2; 104: 1; 105: 1; 106: 2; 109: 2; 128: 1; 130: 1; 141: 1},{4: 24; 5: 29; 6: 24; 7: 26; 8: 14; 9: 24; 10: 16; 11: 10; 12: 28; 13: 18; 14: 14; 15: 10; 16: 8; 17: 9; 18: 8; 19: 5; 20: 8; 21: 8; 22: 8; 23: 3; 24: 3; 25: 5; 26: 5; 27: 4; 28: 4; 29: 4; 30: 1; 31: 1; 37: 1; 38: 1; 48: 1}
2025-10-20T10:44:44,{0: 9; 1: 7; -1: 2; 2: 2; -2: 1; 3: 3; -3: 5; 4: 2; 5: 3; -5: 4; 6: 2; -6: 4; 7: 3; -7: 1; 8: 3; -8: 1; 9: 1; -9: 3; 10: 3; -10: 2; 11: 5; -11: 1; 12: 4; -12: 2; 13: 4; -13: 1; 14: 3; -14: 2; 15: 7; -15: 3; 16: 3; 17: 1; -17: 3; 18: 4; -18: 2; 19: 2; -19: 2; 20: 2; 21: 3; 22: 6; -22: 1; 23: 4; 24: 5; -24: 4; 25: 6; -25: 1; 26: 4; -26: 1; 27: 4; 28: 3; 29: 3; -29: 2; 30: 3; 31: 3; 32: 5; 33: 11; 34: 3; -34: 1; 35: 7; -35: 1; 36: 4; 37: 7; -37: 1; 38: 7; 39: 5; 40: 3; 41: 3; 42: 1; 43: 5; 44: 5; 45: 3; 46: 2; 47: 4; 48: 3; -48: 1; 49: 2; 50: 4; 51: 6; -51: 1; 52: 3; 53: 1; -54: 1; 56: 3; 57: 1; 59: 1; 60: 4; 61: 2; 62: 2; 63: 1; 64: 1; 66: 1; 67: 1; 68: 2; 69: 1; 70: 1; 71: 1; 74: 2; -74: 1; 75: 1; 77: 1; 79: 2; 81: 1; 83: 4; 84: 1; 88: 1; 89: 2; 92: 1; 93: 1; 94: 1; 95: 3; 97: 1; 98: 2; 99: 1; 101: 2; 104: 1; 105: 3; 109: 2; 128: 1; 129: 1; 141: 1},{4: 31; 5: 21; 6: 27; 7: 22; 8: 22; 9: 25; 10: 13; 11: 7; 12: 29; 13: 13; 14: 14; 15: 10; 16: 4; 17: 10; 18: 12; 19: 9; 20: 9; 21: 5; 22: 6; 23: 5; 24: 2; 25: 4; 26: 6; 28: 8; 29: 4; 30: 2; 35: 1; 38: 2; 39: 1}
2025-10-27T02:20:44,{0: 5; 1: 8; -1: 3; 2: 2; -2: 2; 3: 4; -3: 5; 4: 2; -4: 2; 5: 1; -5: 2; 6: 2; -6: 2; 7: 3; -7: 2; 8: 4; -8: 2; 9: 3; -9: 2; 10: 3; -10: 2; 11: 4; -11: 1; 12: 4; -12: 4; 13: 5; -13: 1; 14: 7; 15: 4; -15: 5; 16: 1; -16: 1; 17: 2; -17: 2; 18: 4; -18: 1; 19: 3; -19: 2; 20: 3; -20: 1; 21: 3; 22: 4; 23: 4; 24: 6; -24: 4; 25: 3; -25: 2; 26: 2; -26: 1; 27: 5; 28: 5; -28: 1; 29: 5; -29: 1; 30: 2; -30: 1; 31: 3; 32: 6; 33: 7; 34: 8; 35: 2; -35: 1; 36: 3; 37: 8; -37: 1; 38: 5; 39: 3; -39: 1; 40: 2; -40: 1; 41: 4; 42: 6; 43: 3; 44: 6; 45: 5; 46: 3; 47: 3; 48: 4; -49: 1; 50: 3; 51: 3; 52: 3; -52: 1; 53: 2; 54: 2; 55: 1; 56: 3; 57: 1; 58: 2; 59: 1; 60: 1; 61: 2; 62: 2; 64: 6; 67: 1; 68: 2; 71: 1; 72: 1; 74: 1; 77: 1; -78: 1; 80: 1; 81: 1; 82: 2; 84: 2; 85: 2; 86: 1; 88: 1; 90: 1; 91: 2; 94: 1; 95: 1; 96: 1; 97: 2; 98: 1; 100: 1; 102: 1; 103: 1; 105: 3; 107: 1; 109: 1; 111: 1; 114: 1; 129: 2; 144: 1},{4: 12; 5: 20; 6: 23; 7: 30; 8: 24; 9: 24; 10: 18; 11: 9; 12: 22; 13: 22; 14: 12; 15: 8; 16: 7; 17: 9; 18: 8; 19: 8; 20: 11; 21: 7; 22: 7; 23: 4; 24: 6; 25: 6; 26: 8; 27: 4; 29: 4; 30: 4; 31: 2; 32: 2; 38: 1; 43: 1; 55: 1}
2025-11-03T05:57:37,{0: 6; 1: 7; -1: 3; 2: 5; -2: 3; 3: 3; -3: 4; 4: 1; -4: 1; 5: 2; -5: 2; 6: 3; -6: 2; 7: 3; -7: 3; 8: 2; -8: 1; 9: 3; -9: 4; 10: 3; -10: 2; 11: 4; -11: 1; 12: 5; -12: 5; 13: 5; 14: 5; 15: 4; -15: 4; 16: 3; -16: 1; 17: 1; -17: 2; 18: 6; -18: 2; 19: 1; -19: 2; 20: 2; 21: 2; 22: 4; 23: 3; -23: 1; 24: 8; -24: 2; 25: 5; -25: 1; 26: 2; -26: 1; 27: 5; -27: 1; 28: 3; -28: 1; 29: 3; -29: 1; 30: 4; -30: 1; 31: 4; 32: 6; 33: 5; 34: 9; 35: 2; -35: 1; 36: 3; -36: 1; 37: 8; -37: 1; 38: 7; 39: 4; 40: 5; 41: 3; 42: 3; -42: 1; 43: 3; 44: 5; 45: 5; 46: 3; 47: 1; 48: 6; 49: 3; -49: 1; 50: 2; 51: 4; 52: 3; 53: 2; -53: 1; 56: 2; 57: 1; 59: 3; 60: 2; 62: 2; 63: 2; 64: 3; 65: 1; 66: 1; 67: 2; 68: 2; 72: 2; 75: 2; 78: 1; -78: 1; 80: 2; 82: 1; 83: 1; 84: 1; 85: 2; 86: 1; 87: 1; 88: 1; 89: 1; 91: 2; 96: 3; 97: 1; 99: 2; 101: 1; 102: 2; 103: 2; 106: 1; 108: 1; 111: 1; 115: 1; 129: 2; 142: 1},{4: 16; 5: 24; 6: 23; 7: 19; 8: 22; 9: 28; 10: 19; 11: 11; 12: 29; 13: 18; 14: 9; 15: 5; 16: 9; 17: 10; 18: 10; 19: 7; 20: 9; 21: 7; 22: 4; 23: 4; 24: 4; 25: 11; 26: 6; 27: 6; 28: 4; 29: 1; 30: 2; 31: 2; 32: 1; 33: 1; 35: 1; 36: 1; -87: 1}
2025-11-09T21:20:30,{0: 8; 1: 5; -1: 3; 2: 4; -2: 2; 3: 3; -3: 3; 4: 1; -4: 2; 5: 4; -5: 1; 6: 3; -6: 1; 7: 4; -7: 2; 8: 2; -8: 2; 9: 3; -9: 3; 10: 2; -10: 2; 11: 6; -11: 1; 12: 7; -12: 5; 13: 3; -13: 1; 14: 6; -14: 1; 15: 1; -15: 3; 16: 3; -16: 1; 17: 2; -17: 4; 18: 6; -18: 1; 20: 2; -20: 2; 21: 5; -21: 1; 22: 1; 23: 4; -23: 1; 24: 9; -24: 1; 25: 4; -25: 1; 26: 1; -26: 2; 27: 4; -27: 2; 28: 4; -28: 1; 29: 4; 30: 5; 31: 6; 32: 7; 33: 4; 34: 8; 35: 3; -35: 1; 36: 4; -36: 1; 37: 10; -37: 1; 38: 5; 39: 2; 40: 1; 41: 4; 42: 2; 43: 1; 44: 8; 45: 5; 46: 3; 47: 4; 48: 5; 49: 4; -49: 1; 50: 1; -50: 1; 51: 5; 52: 2; 53: 1; -53: 1; 54: 1; 55: 1; 56: 1; 58: 3; 59: 1; 60: 1; 61: 3; 64: 2; 65: 1; 67: 1; 68: 2; 70: 1; 73: 4; 75: 2; 76: 1; 77: 1; 79: 1; -79: 1; 81: 1; 82: 2; 84: 2; 85: 1; 86: 1; 87: 1; 88: 1; 91: 3; 94: 2; 96: 2; 97: 1; 100: 2; 101: 2; 103: 3; 105: 1; 116: 1; 117: 1; 130: 1; 134: 1; 149: 1},{4: 10; 5: 26; 6: 23; 7: 22; 8: 16; 9: 24; 10: 24; 11: 12; 12: 29; 13: 23; 14: 5; 15: 9; 16: 6; 17: 12; 18: 12; 19: 6; 20: 9; 21: 8; 22: 8; 23: 6; 24: 5; 25: 5; 26: 6; 27: 6; 28: 2; 29: 2; 31: 2; 32: 2; 33: 1; 35: 1; 36: 1; 37: 1}
2025-11-16T23:16:16,{0: 8; 1: 5; -1: 3; 2: 3; -2: 2; 3: 3; -3: 3; 4: 1; -4: 3; 5: 2; -5: 2; 6: 4; -6: 1; 7: 4; -7: 1; 8: 2; -8: 2; 9: 2; -9: 4; 10: 3; -10: 1; 11: 9; -11: 1; 12: 6; -12: 4; 13: 3; -13: 1; 14: 4; -14: 1; 15: 3; -15: 3; 16: 3; -16: 2; 17: 2; -17: 3; 18: 7; -18: 1; 20: 2; -20: 2; 21: 2; -21: 1; 22: 1; 23: 4; -23: 1; 24: 11; -24: 1; 25: 1; -25: 1; 26: 4; -26: 3; 27: 2; -27: 1; 28: 6; -28: 1; 29: 4; 30: 6; 31: 4; 32: 7; 33: 6; 34: 6; 35: 1; -35: 1; 36: 4; 37: 7; -37: 2; 38: 7; 39: 2; 40: 3; 41: 7; 42: 3; 43: 3; 44: 5; -44: 1; 45: 5; 46: 3; 47: 2; 48: 5; 49: 3; -49: 1; 50: 1; 51: 5; 52: 3; 53: 2; -53: 1; 55: 1; 56: 1; 58: 2; 59: 2; 61: 1; 62: 2; 63: 1; 64: 1; 65: 2; 66: 1; 67: 3; 70: 1; 73: 2; 75: 3; 77: 1; 78: 2; -79: 1; 81: 1; 82: 1; 83: 2; 84: 1; 86: 2; 87: 2; 88: 1; 91: 2; 93: 1; 94: 3; 97: 1; 98: 1; 100: 2; 101: 2; 103: 2; 106: 1; 107: 1; 116: 1; 117: 1; 130: 1; 134: 1; 146: 1},{4: 19; 5: 18; 6: 24; 7: 21; 8: 20; 9: 23; 10: 21; 11: 12; 12: 29; 13: 24; 14: 9; 15: 10; 16: 7; 17: 13; 18: 11; 19: 8; 20: 9; 21: 6; 22: 4; 23: 4; 24: 4; 25: 8; 26: 6; 27: 2; 28: 3; 29: 3; 30: 2; 31: 2; 33: 1; 56: 1}
2025-11-23T22:57:40,{0: 13; 1: 6; -1: 1; 2: 2; -2: 3; 3: 3; -3: 3; 4: 3; -4: 2; 5: 4; -5: 1; 6: 3; -6: 1; 7: 2; -7: 1; 8: 2; -8: 4; 9: 3; -9: 4; 10: 7; 11: 3; -11: 2; 12: 5; -12: 2; 13: 3; -13: 1; 14: 4; -14: 2; 15: 2; -15: 2; 16: 3; -16: 1; 17: 3; -17: 3; 18: 9; 19: 3; -19: 1; 20: 2; -20: 1; 21: 3; -21: 3; 23: 4; -23: 2; 24: 6; 25: 3; 26: 1; -26: 3; 27: 3; -27: 1; 28: 6; 29: 4; -29: 1; 30: 8; -30: 1; 31: 5; 32: 7; 33: 6; 34: 7; 35: 1; -35: 1; 36: 3; 37: 6; -37: 2; 38: 4; 39: 5; 40: 4; 41: 5; 42: 4; 43: 1; 44: 5; 45: 2; 46: 3; 47: 6; 48: 2; 49: 2; 50: 2; 51: 4; -51: 1; 52: 2; -52: 1; 53: 4; -53: 1; 54: 2; 56: 2; 57: 2; 58: 1; 61: 2; 62: 2; 63: 1; 64: 2; 65: 1; 68: 1; 70: 2; 72: 2; -72: 1; 73: 1; 75: 2; 77: 1; 78: 1; 79: 1; 80: 1; 81: 2; 83: 2; 84: 1; 85: 1; 86: 1; 87: 2; 88: 1; 90: 1; 93: 1; 95: 1; 96: 3; 97: 1; 99: 1; 100: 3; 101: 1; 103: 2; 107: 1; 109: 1; 116: 1; 117: 1; 130: 1; 134: 1; 146: 1},{4: 8; 5: 19; 6: 21; 7: 19; 8: 23; 9: 25; 10: 19; 11: 19; 12: 19; 13: 26; 14: 12; 15: 9; 16: 11; 17: 10; 18: 15; 19: 5; 20: 6; 21: 10; 22: 6; 23: 3; 24: 7; 25: 2; 26: 6; 27: 7; 28: 3; 29: 4; 30: 2; 31: 5; 34: 2; 42: 1}
2025-12-01T06:52:55,{0: 11; 1: 6; -1: 1; 2: 3; -2: 3; 3: 1; -3: 4; 4: 4; -4: 2; 5: 6; -5: 1; 6: 4; -6: 2; 7: 2; -7: 1; 8: 3; -8: 3; 9: 3; -9: 3; 10: 6; 11: 3; -11: 2; 12: 4; -12: 2; 13: 4; 14: 4; -14: 2; 15: 2; -15: 2; 16: 2; -16: 3; 17: 2; -17: 2; 18: 8; 19: 3; -19: 1; 20: 3; -20: 1; 21: 3; -21: 4; 22: 1; -22: 1; 23: 3; 24: 6; -24: 1; 25: 3; 26: 1; -26: 2; 27: 1; -27: 1; 28: 6; 29: 5; -29: 2; 30: 8; 31: 6; 32: 7; 33: 6; 34: 5; 35: 1; -35: 1; 36: 4; 37: 7; -37: 2; 38: 2; 39: 5; 40: 6; -40: 1; 41: 6; 42: 4; 43: 1; 44: 5; 45: 5; 46: 1; 47: 5; 48: 2; 49: 1; 50: 4; 51: 3; 52: 2; -52: 1; 53: 3; -53: 1; 54: 4; 56: 3; 59: 1; 60: 1; 61: 2; 62: 2; 63: 1; 64: 2; 66: 1; 67: 1; 68: 1; -68: 1; 70: 1; 72: 2; 75: 1; 77: 2; 78: 1; 80: 3; 81: 1; 83: 2; 84: 1; 86: 2; 87: 2; 89: 1; 90: 1; 93: 1; 95: 1; 96: 3; 97: 1; 100: 3; 101: 2; 103: 2; 105: 1; 107: 1; 116: 1; 118: 1; 130: 1; 134: 1; 152: 1},{4: 12; 5: 22; 6: 21; 7: 24; 8: 21; 9: 17; 10: 16; 11: 19; 12: 26; 13: 24; 14: 15; 15: 8; 16: 11; 17: 13; 18: 8; 19: 6; 20: 4; 21: 15; 22: 2; 23: 4; 24: 7; 25: 7; 26: 6; 27: 2; 28: 1; 29: 4; 30: 3; 31: 3; 33: 1; 34: 1; 63: 1}
